id,altura,fnac,fortuna,nacionalidad,nombre,peso
1,0,"July 6, 1925",1000000000.0,American,"Mervyn Edward Griffin, Jr.",0
2,1.72,"November 2, 1965",700000000.0,Indian,Shah Rukh Khan,74.0
3,1.7,"July 3, 1962",550000000.0,American,Thomas Cruise Mapother IV,72.0
4,1.8,"May 6, 1961",500000000.0,American,George Timothy Clooney,75.0
5,1.88,"October 11, 1942 ",425000000.0,Indian,Amitabh Harivansh Bachchan,0
6,1.77,"January 3, 1956",425000000.0,"United States, Australia",Mel Colm-Cille Gerard Gibson,79.0
7,1.78,"September 9, 1966",420000000.0,American,Adam Richard Sandler,74.84
8,1.88," September 25, 1968",420000000.0,American,"Willard Christopher Smith, Jr.",90.0
9,1.77,"July 6, 1946",400000000.0,American,Michael Sylvester Gardenzio Stallone,103.0
10,1.77,"April 22, 1937",400000000.0,United States,John Joseph Nicholson,74.39
11,1.74,7 April 1954,395000000.0,Hong Kong,Chan Kong-sang (陳港生),72.0
12,1.88,"May 31, 1930",375000000.0,American,"Clinton Eastwood, Jr.",0
13,1.73,"June 5, 1971",350000000.0,United States,Mark Robert Michael Wahlberg,74.0
14,1.83,"July 9, 1956",350000000.0,United States,Thomas Jeffrey Hanks,83.0
15,1.78,"September 25, 1944",300000000.0,United States,Michael Kirk Douglas,67.0
16,1.88,"July 30, 1947",300000000.0,American,Arnold Alois Schwarzenegger,117.0
17,1.74,"April 4, 1965",300000000.0,American,Robert Downey Jr.,78.0
18,1.81,"July 3, 1973",275000000.0,United States,Patrick Joseph Wilson,0
19,0,"September 1, 1975 ",245000000.0,Canada,Robert Scott Speedman,0
20,1.83,"November 11, 1974",245000000.0,American,Leonardo Wilhelm DiCaprio,77.0
21,1.8,"December 18, 1963",240000000.0,American,William Bradley Pitt,72.0
22,1.74,27 December 1965,230000000.0,Indian,Abdul Rashid Salim Salman Khan,0
23,1.85,"July 13, 1942",230000000.0,American,Harrison Ford,98.88
24,0,"December 15, 1970",215000000.0,Canada,Michael Garrett Shanks,0
25,0,"August 27, 1953",215000000.0,Sweden,Rolf Peter Ingvar Storm,0
26,0,"June 28, 1971",163900000000.0,United States,Elon Musk,0
27,0,"November 1, 1935",54200000000.0,United States,Charles de Ganahl Koch,0
28,0,"June 7, 1948",53300000000.0,American,James Carr Walton,0
29,0,"February 7, 1949",30400000000.0,Japan,Tadashi Yanai,0
30,0,"April 4, 1925",22500000000.0,French,Serge Dassault ,0
31,0,"September 26, 1965",18700000000.0,Russian,Alexei Mordashov,0
32,0,"October 18, 1952",17400000000.0,British,James Arthur Ratcliffe,0
33,0,28 November 1964,17200000000.0,American,Sallie L. Krawcheck,0
34,0,"April 27, 1955",14700000000.0,American,Eric Emerson Schmidt,0
35,0,0,13200000000.0,American,David Albert Duffield,0
36,0,"March 10, 1978",9910000000.0,American,Robert J. Pera,0
37,0,1970,9240000000.0,Chinese,Zhou Qunfei ,0
38,0,"December 19, 1972 ",8460000000.000001,American,Galen Weston Jr,0
39,0,0,8390000000.000001,Chinese,Xu Shihui,0
40,0,0,8170000000.0,South Korea,0,0
41,0,"March 1, 1963",7000000000.0,American,Robert A. Kotick,0
42,0,"March 11, 1963",6840000000.0,Japanese,Hiroshi Mikitani,0
43,0,"August 6, 1976",6650000000.0,American,Travis Cordell Kalanick,0
44,0,"October 13, 1947",4800000000.0,Brazilian,Roberto Irineu Marinho,0
45,0,0,4700000000.0,Brazil,Cesar Mata Pires,0
46,0,6 August 1948,4600000000.0,Danish,Lars Kristinus Larsen,0
47,0,"September 17, 1939",4500000000.0,German,Guenther Fielmann,0
48,0,0,4300000000.0,Americans,Andrew and Peggy Cherng,0
49,0,"November 19, 1963",4099999999.9999995,Germany,Ralph Dommermuth,0
50,0,0,3900000000.0,American,Daniel S. Och,0
51,1.87,"July 27, 1975",300000000.0,American,"Alexander Emmanuel ""Alex"" Rodriguez",0
52,1.9,"June 26, 1974",185000000.0,American,Derek Sanderson Jeter,79.38
53,1.98,"July 21, 1980 ",155000000.0,American,"Carsten Charles ""CC"" Sabathia",0
54,0,"January 16, 1980",140000000.0,Dominican-American,José Alberto Pujols Alcántara,0
55,1.93,"November 19, 1979",140000000.0,American,Ryan James Howard,0
56,0,"April 7, 1979",125000000.0,Dominican,Adrian Beltre Perez,100.0
57,1.88,"April 18, 1983",125000000.0,Venezuela,José Miguel Cabrera Torres ,0
58,2.08,"September 10, 1963",115000000.0,American,Randall David Johnson ,102.0
59,0,"October 25, 1971",110000000.0,Dominican-American,Pedro Jaime Martinez,88.0
60,1.85,"June 25, 1978",110000000.0,Dominican,Aramis Nin Ramirez,95.0
61,1.9,"April 24, 1972",110000000.0,American,"Larry Wayne Jones, Jr.",0
