rank,link
,
"
                            1
                        ",/celebnetworth/celeb/actors/merv-griffin-net-worth/
"
                            2
                        ",/celebnetworth/celeb/actors/shahrukh-khan-net-worth/
"
                            3
                        ",/celebnetworth/celeb/actors/tom-cruise-net-worth/
"
                            4
                        ",/celebnetworth/celeb/actors/george-clooney-net-worth/
"
                            5
                        ",/celebnetworth/celeb/actors/amitabh-bachchan-net-worth/
"
                            6
                        ",/celebnetworth/celeb/actors/mel-gibson-net-worth/
"
                            7
                        ",/celebnetworth/celeb/actors/will-smith-net-worth/
"
                            8
                        ",/celebnetworth/celeb/actors/adam-sandler-net-worth/
"
                            9
                        ",/celebnetworth/celeb/actors/jack-nicholson-net-worth/
"
                            10
                        ",/celebnetworth/celeb/actors/sylvester-stallone-net-worth/
"
                            11
                        ",/celebnetworth/celeb/actors/jackie-chan-net-worth/
"
                            12
                        ",/celebnetworth/celeb/actors/clint-eastwood-net-worth/
"
                            13
                        ",/celebnetworth/celeb/actors/mark-wahlberg-net-worth/
"
                            14
                        ",/celebnetworth/celeb/actors/tom-hanks-net-worth/
"
                            15
                        ",/celebnetworth/celeb/actors/michael-douglas-net-worth/
"
                            16
                        ",/celebnetworth/celeb/actors/arnold-schwarzenegger-net-worth/
"
                            17
                        ",/celebnetworth/celeb/actors/robert-downey-jr-net-worth/
"
                            18
                        ",/celebnetworth/celeb/actors/patrick-wilson-net-worth/
"
                            19
                        ",/celebnetworth/celeb/actors/scott-speedman-net-worth/
"
                            20
                        ",/celebnetworth/celeb/actors/leonardo-dicaprio-net-worth/
"
                            21
                        ",/celebnetworth/celeb/actors/brad-pitt-net-worth/
"
                            22
                        ",/celebnetworth/celeb/actors/salman-khan-net-worth/
"
                            23
                        ",/celebnetworth/celeb/actors/harrison-ford-net-worth/
"
                            24
                        ",/celebnetworth/celeb/actors/michael-shanks-net-worth/
"
                            25
                        ",/celebnetworth/celeb/actors/peter-stormare-net-worth/
,
"
                            26
                        ",/celebnetworth/celeb/gerard-depardieu-net-worth/
"
                            27
                        ",/celebnetworth/celeb/actors/karan-johar-net-worth/
"
                            28
                        ",/celebnetworth/celeb/actors/samuel-l-jackson-net-worth/
"
                            29
                        ",/celebnetworth/celeb/actors/vin-diesel-net-worth/
"
                            30
                        ",/celebnetworth/celeb/actors/johnny-depp-net-worth/
"
                            31
                        ",/celebnetworth/celeb/actors/denzel-washington-net-worth/
"
                            32
                        ",/celebnetworth/celeb/actors/jorge-garcia-net-worth/
"
                            33
                        ",/celebnetworth/celeb/actors/bruce-willis-net-worth/
"
                            34
                        ",/celebnetworth/celeb/actors/mike-myers-net-worth/
"
                            35
                        ",/celebnetworth/celeb/actors/robert-redford-net-worth/
"
                            36
                        ",/celebnetworth/celeb/actors/john-travolta-net-worth/
